"","title","price","floor_area","location","agency","image_url"
"267","Dachmaisonette in Hietzinger Cottage",1235000,216,"1130","PRIME PROPERTIES GmbH","https://cache.willhaben.at/mmo/0/312/800/500_-164306673_hoved.jpg"
"268","Neubau Grünruhelage mit Wienblick und großen Eigengarten - Erstbezug Frühjahr 2020",812000,158,"1130","Stubenvoll Immobilien","https://cache.willhaben.at/mmo/5/265/650/965_-571685094_hoved.jpg"
"269","Neubau Grünruhelage mit Wienblick und großen Eigengarten - Erstbezug Frühjahr 2020",550000,79,"1130","Stubenvoll Immobilien","https://cache.willhaben.at/mmo/8/265/650/988_-571685094_hoved.jpg"
"270","Neubau Grünruhelage mit Wienblick - Erstbezug Frühjahr 2020",940000,72,"1130","Stubenvoll Immobilien","https://cache.willhaben.at/mmo/9/265/650/999_-571685094_hoved.jpg"
"271","Neubau in Hietzing nähe U-Bahn Gartenwohnung - Erstbezug Ende 2020",605000,98,"1130","Stubenvoll Immobilien","https://cache.willhaben.at/mmo/6/323/001/456_524130983_hoved.jpg"
"272","Neubau in Hietzing nähe U-Bahn - Erstbezug Ende 2020",435000,88,"1130","Stubenvoll Immobilien","https://cache.willhaben.at/mmo/0/323/001/460_524130983_hoved.jpg"
"273","Vitusgasse 6",310000,70,"1130","DOWA Liegenschaftsverwertungs GmbH","https://cache.willhaben.at/mmo/8/373/886/798_1401606020_hoved.jpg"
"274","Absolut ruhiges 2-Zimmer-Eigentum in 1130 Wien",249000,65,"1130","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/8/367/932/328_789312257_hoved.jpg"
"275","Große 2-Zimmer Eigentumswohnung (provisionsfrei) in Grünruhelage mit großem Gemeinschaftsgarten",464000,72,"1130","","https://cache.willhaben.at/mmo/3/378/822/273_-2070424922_hoved.jpg"
"276","OBER ST. VEIT - RUHIGES SÜDSEITIGES 4 ZIMMER-LOGGIAEIGENTUM MIT GARTENMITBENÜTZUNG",189000,105,"1130","s REAL - Wien","https://cache.willhaben.at/mmo/6/367/862/186_877849279_hoved.jpg"
